
#TBID:2021-05-03 02:30:00;SAM_84C8;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-05-03_02-30-00_000_995
IDDevice           = SAM_84C8
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-05-03 02:30:00
IDData             = 96B1_2021-05-03_02-30-00_000_996
IDDevice           = SAM_84C8
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-05-03 02:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84C8
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_12-14-03_013_778
IDDataCal = DLAB_2015-08-24_11-04-47_772_747
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $03 Intensity mW/(m^2 nm Sr)
Unit3 = $f0 $03 Error mW/(m^2 nm Sr)
Unit4 = $f1 $00 Status 
p999 = 798
[END] of [Attributes]
[DATA]
 0 11 0 0
 303.516048156 0 0 0
 306.890006053 0 0 0
 310.26457112 0 0 0
 313.639731825 0 0 0
 317.015476636 -0.000273043651204715 0 0
 320.391794021 -0.000474676171672759 0 0
 323.768672448 -0.000314795515331418 0 0
 327.146100385 -0.000186886628551508 0 0
 330.5240663 -0.000161199144089947 0 0
 333.902558661 0.000118639944411025 0 0
 337.281565936 -4.61780998969526e-005 0 0
 340.661076593 -0.000179736587203284 0 0
 344.0410791 -8.00296764446528e-005 0 0
 347.421561925 -0.000104299193881993 0 0
 350.802513536 -7.36320833585734e-005 0 0
 354.183922401 -3.16550198536747e-005 0 0
 357.565776988 -0.000156019603771536 0 0
 360.948065765 -0.000136965209138439 0 0
 364.3307772 -7.0935285007233e-005 0 0
 367.713899761 1.26907176691122e-005 0 0
 371.097421916 -5.49193781933858e-005 0 0
 374.481332133 -1.2980989410096e-005 0 0
 377.86561888 -8.19339917816686e-005 0 0
 381.250270625 -7.88860195833855e-005 0 0
 384.635275836 -7.26775049104227e-005 0 0
 388.020622981 -4.5705323249607e-005 0 0
 391.406300528 -4.35001322329315e-005 0 0
 394.792296945 -0.000182496887330158 0 0
 398.1786007 -5.23280140630758e-005 0 0
 401.565200261 -4.46653689768432e-005 0 0
 404.952084096 3.0435332722637e-005 0 0
 408.339240673 -9.37639246821588e-005 0 0
 411.72665846 4.91138131577319e-005 0 0
 415.114325925 6.81932373701592e-005 0 0
 418.502231536 4.43594257485878e-005 0 0
 421.890363761 -3.54444846306241e-005 0 0
 425.278711068 -0.000193362801823769 0 0
 428.667261925 6.88000557082416e-006 0 0
 432.0560048 -2.0735762586063e-006 0 0
 435.444928161 2.37087624457746e-005 0 0
 438.834020476 -2.95205395420373e-005 0 0
 442.223270213 -0.000136792385062111 0 0
 445.61266584 -2.21737656417858e-005 0 0
 449.002195825 -3.10670117687354e-005 0 0
 452.391848636 -5.44568554689002e-005 0 0
 455.781612741 -2.07161219742238e-005 0 0
 459.171476608 6.12822668508583e-005 0 0
 462.561428705 1.98125039671639e-005 0 0
 465.9514575 1.1551081806574e-005 0 0
 469.341551461 1.14852696432684e-005 0 0
 472.731699056 -2.09151439651036e-006 0 0
 476.121888753 5.88308860710127e-006 0 0
 479.51210902 -1.35835335411877e-005 0 0
 482.902348325 8.63160388582056e-005 0 0
 486.292595136 3.12874593444255e-005 0 0
 489.682837921 -2.17548615133948e-005 0 0
 493.073065148 -4.90976410039811e-005 0 0
 496.463265285 7.56468556269407e-005 0 0
 499.8534268 5.06960002600246e-005 0 0
 503.243538161 -4.66707135306575e-005 0 0
 506.633587836 -7.7314867469968e-005 0 0
 510.023564293 -0.000115403427742007 0 0
 513.413456 -1.20603164111133e-005 0 0
 516.803251425 4.71099733301473e-005 0 0
 520.192939036 2.46905093660114e-005 0 0
 523.582507301 -6.65393089336756e-005 0 0
 526.971944688 6.32163151747695e-005 0 0
 530.361239665 -3.89244662505478e-005 0 0
 533.7503807 1.74591227338756e-005 0 0
 537.139356261 2.92448120145944e-005 0 0
 540.528154816 -7.93773003789511e-006 0 0
 543.916764833 -8.33108237630014e-005 0 0
 547.30517478 4.57145028070416e-005 0 0
 550.693373125 -1.07452638127509e-005 0 0
 554.081348336 2.91897924882448e-005 0 0
 557.469088881 4.64124548092192e-005 0 0
 560.856583228 3.27489260784269e-005 0 0
 564.243819845 3.31480331215968e-005 0 0
 567.6307872 1.144381542177e-005 0 0
 571.017473761 -7.56923875462433e-006 0 0
 574.403867996 4.93281641383253e-005 0 0
 577.789958373 4.79795429340367e-006 0 0
 581.17573336 -3.84912969636782e-005 0 0
 584.561181425 -3.327902247563e-005 0 0
 587.946291036 2.93656365814513e-005 0 0
 591.331050661 5.65486086723988e-005 0 0
 594.715448768 -5.89001044275475e-005 0 0
 598.099473825 8.01758828340459e-006 0 0
 601.4831143 1.13549061471322e-006 0 0
 604.866358661 -4.32975347052549e-005 0 0
 608.249195376 -3.75722089322825e-005 0 0
 611.631612913 -1.46521742584971e-005 0 0
 615.01359974 3.20562570596522e-005 0 0
 618.395144325 -0.000127851416421016 0 0
 621.776235136 -1.07223407401095e-005 0 0
 625.156860641 -7.47000787637639e-006 0 0
 628.537009308 6.59594864842593e-005 0 0
 631.916669605 2.3737965819476e-006 0 0
 635.29583 1.31119763339571e-005 0 0
