
#TBID:2021-07-10 02:30:00;SAM_84C8;CALIBRATED;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-07-10_02-30-00_000_656
IDDevice           = SAM_84C8
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-07-10 02:30:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84C8
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_12-14-03_013_778
IDDataCal = DLAB_2015-08-24_11-04-47_772_747
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $03 Intensity mW/(m^2 nm Sr)
Unit3 = $f0 $03 Error mW/(m^2 nm Sr)
Unit4 = $f1 $00 Status 
p999 = 364
[END] of [Attributes]
[DATA]
 0 11 0 0
 303.516048156 0 0 0
 306.890006053 0 0 0
 310.26457112 0 0 0
 313.639731825 0 0 0
 317.015476636 -0.00164200973829507 0 0
 320.391794021 -0.00170057667954454 0 0
 323.768672448 -0.00123265268689144 0 0
 327.146100385 -0.00101118093902235 0 0
 330.5240663 -0.000953583121415674 0 0
 333.902558661 -0.000833950185856214 0 0
 337.281565936 -0.000707758966712144 0 0
 340.661076593 -0.000471649233721225 0 0
 344.0410791 -0.000487167784348491 0 0
 347.421561925 -0.000378886507638565 0 0
 350.802513536 -0.000302285321273937 0 0
 354.183922401 -0.000328723472237854 0 0
 357.565776988 -0.00031398978665814 0 0
 360.948065765 -0.000230732121582213 0 0
 364.3307772 -0.000125827849043036 0 0
 367.713899761 -0.000115104879194643 0 0
 371.097421916 -0.000184631527912308 0 0
 374.481332133 6.05866923873747e-006 0 0
 377.86561888 3.55856087464003e-005 0 0
 381.250270625 -5.87910872843457e-005 0 0
 384.635275836 2.98881059607399e-005 0 0
 388.020622981 -4.3836178947032e-006 0 0
 391.406300528 -2.35513100103472e-006 0 0
 394.792296945 -4.01000079761188e-005 0 0
 398.1786007 6.6849246984762e-005 0 0
 401.565200261 -2.54332532975153e-005 0 0
 404.952084096 1.19650521573956e-005 0 0
 408.339240673 0.000169493152890572 0 0
 411.72665846 0.000148911867200845 0 0
 415.114325925 -4.16551382740699e-005 0 0
 418.502231536 4.43594257485877e-005 0 0
 421.890363761 -3.54444846306242e-005 0 0
 425.278711068 -2.27445075587589e-005 0 0
 428.667261925 3.17833848095139e-005 0 0
 432.0560048 3.36572157411576e-005 0 0
 435.444928161 7.17794677704509e-007 0 0
 438.834020476 3.7712469616083e-005 0 0
 442.223270213 4.05538569703418e-005 0 0
 445.61266584 5.54477774645594e-005 0 0
 449.002195825 -1.98548162070172e-005 0 0
 452.391848636 9.43188361156897e-005 0 0
 455.781612741 4.96974003095993e-005 0 0
 459.171476608 6.12822668508583e-005 0 0
 462.561428705 0.000118875515954684 0 0
 465.9514575 1.15510818065739e-005 0 0
 469.341551461 3.73185240520036e-005 0 0
 472.731699056 2.41386421512108e-005 0 0
 476.121888753 -2.06581564145866e-005 0 0
 479.51210902 4.01631004817797e-005 0 0
 482.902348325 4.5358178198297e-005 0 0
 486.292595136 1.7413521579958e-005 0 0
 489.682837921 0.000147112494929044 0 0
 493.073065148 3.63584982858317e-005 0 0
 496.463265285 0.000104297788361457 0 0
 499.8534268 7.69577886319589e-006 0 0
 503.243538161 9.58212636245274e-005 0 0
 506.633587836 2.12791433774988e-005 0 0
 510.023564293 6.48257617557062e-005 0 0
 513.413456 6.94368296777216e-005 0 0
 516.803251425 7.35958024137725e-005 0 0
 520.192939036 6.33423684272271e-005 0 0
 523.582507301 7.12759920995504e-005 0 0
 526.971944688 9.97974757004375e-005 0 0
 530.361239665 5.64405143082908e-005 0 0
 533.7503807 8.76932577165163e-005 0 0
 537.139356261 1.76956316168282e-005 0 0
 540.528154816 3.5155084522062e-006 0 0
 543.916764833 6.48887538147805e-005 0 0
 547.30517478 3.43290605744871e-005 0 0
 550.693373125 5.77114348789686e-005 0 0
 554.081348336 7.50307815293314e-005 0 0
 557.469088881 1.1778958295655e-005 0 0
 560.856583228 3.27489260784268e-005 0 0
 564.243819845 0.000163309555070692 0 0
 567.6307872 0.000167765563291447 0 0
 571.017473761 0.000114919779062658 0 0
 574.403867996 0.00013672396549438 0 0
 577.789958373 0.000106740443488923 0 0
 581.17573336 0.000143729260692793 0 0
 584.561181425 9.98475901512059e-005 0 0
 587.946291036 0.000138390332316015 0 0
 591.331050661 9.84355507696667e-005 0 0
 594.715448768 0.00012709349719205 0 0
 598.099473825 0.000139988178426613 0 0
 601.4831143 0.000166549944748495 0 0
 604.866358661 0.00018746468417289 0 0
 608.249195376 0.000150139924285872 0 0
 611.631612913 0.000300667005210352 0 0
 615.01359974 0.00017462361272322 0 0
 618.395144325 9.55632153042195e-005 0 0
 621.776235136 0.00027937703395989 0 0
 625.156860641 0.000221265489271215 0 0
 628.537009308 0.000216130998269844 0 0
 631.916669605 0.000122408745751696 0 0
 635.29583 0.000172157730448211 0 0
 638.674478961 0.000197487616521995 0 0
 642.052604956 0.00018774664604372 0 0
 645.430196453 0.000113140832373699 0 0
