
#TBID:2021-01-29 00:00:00;SAM_84CE;RAW;

[Spectrum]
Version            = 1
IDData             = 96B1_2021-01-29_00-00-00_000_009
IDDevice           = SAM_84CE
IDDataType         = SPECTRUM
IDDataTypeSub1     = RAW
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-01-29 00:00:00
IDData             = 96B1_2021-01-29_00-00-00_000_010
IDDevice           = SAM_84CE
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2021-01-29 00:00:00
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Control
MethodName         = SAM_84CE
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2015-08-21_11-56-43_233_004
IDDataCal = DLAB_2015-08-26_10-05-37_585_478
IntegrationTime = 4096
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 1800
[END] of [Attributes]
[DATA]
 0 11 0 0
 303.485180022 0 0 0
 306.85638880275 0 0 0
 310.228324544 0 0 0
 313.60097308125 0 0 0
 316.97432025 -0.00195197046814656 0 0
 320.34835188575 -0.00420351385199789 0 0
 323.723053824 -0.000621827422978256 0 0
 327.09841190025 0.000606954817668624 0 0
 330.47441195 -0.00121351794099892 0 0
 333.85103980875 -0.00125947117677391 0 0
 337.228281312 -0.00236814153717469 0 0
 340.60612229525 -0.0022095481153005 0 0
 343.984548594 0.000231647183920746 0 0
 347.36354604375 -0.00295122733690807 0 0
 350.74310048 -5.74551764854206e-005 0 0
 354.12319773825 0.000400437512267602 0 0
 357.503823654 0.000449727127205047 0 0
 360.88496406275 -6.82069965134887e-005 0 0
 364.2666048 0.000882122962969079 0 0
 367.64873170125 -0.000683460867776679 0 0
 371.031330602 0.000265388035795899 0 0
 374.41438733775 0.000903114582585559 0 0
 377.797887744 -0.000923329891107622 0 0
 381.18181765625 -0.000689881782742411 0 0
 384.56616291 0.000890780482795352 0 0
 387.95090934075 -0.000285763285265868 0 0
 391.336042784 -0.000383784466728174 0 0
 394.72154907525 0.000226553504049464 0 0
 398.10741405 0.00130527711440249 0 0
 401.49362354375 0.000947115866432395 0 0
 404.880163392 0.00104336616133219 0 0
 408.26701943025 0.000592503319632759 0 0
 411.654177494 0.000305542287363681 0 0
 415.04162341875 0.00176870196202986 0 0
 418.42934304 0.00226610477253579 0 0
 421.81732219325 0.0017331567853165 0 0
 425.205546714 0.0026412868649278 0 0
 428.59400243775 0.00146504452521163 0 0
 431.9826752 0.00160301222718907 0 0
 435.37155083625 0.00213881349110569 0 0
 438.760615182 0.00250565122848651 0 0
 442.14985407275 0.00191254162107344 0 0
 445.539253344 0.00222342202749195 0 0
 448.92879883125 0.00358719769866327 0 0
 452.31847637 0.00280930262550001 0 0
 455.70827179575 0.00254520211960131 0 0
 459.098170944 0.00258773398144518 0 0
 462.48815965025 0.00308720098649624 0 0
 465.87822375 0.00319403869756716 0 0
 469.26834907875 0.00273118576846633 0 0
 472.658521472 0.00275333487883287 0 0
 476.04872676525 0.00372251660096802 0 0
 479.438950794 0.00314289151668297 0 0
 482.82917939375 0.00214543327622029 0 0
 486.2193984 0.00366448822075861 0 0
 489.60959364825 0.00350648534948623 0 0
 492.999750974 0.00331096344205419 0 0
 496.38985621275 0.00307467113243358 0 0
 499.7798952 0.00294339092143817 0 0
 503.16985377125 0.0035107234369141 0 0
 506.559717762 0.00257747191585686 0 0
 509.94947300775 0.00284719951574618 0 0
 513.339105344 0.00291580081783812 0 0
 516.72860060625 0.00312747529060988 0 0
 520.11794463 0.00344161566693567 0 0
 523.50712325075 0.00366616077764033 0 0
 526.896122304 0.00330137979468734 0 0
 530.28492762525 0.00332874020009855 0 0
 533.67352505 0.00332122692896915 0 0
 537.06190041375 0.00407280381952823 0 0
 540.450039552 0.00395927625161914 0 0
 543.83792830025 0.00323497567021479 0 0
 547.225552494 0.00364988800457208 0 0
 550.61289796875 0.0040885384964237 0 0
 553.99995056 0.00367104107674405 0 0
 557.38669610325 0.00314138912132424 0 0
 560.773120434 0.0039128764739533 0 0
 564.15920938775 0.00412060949633454 0 0
 567.5449488 0.00295212966390951 0 0
 570.93032450625 0.00341448649397548 0 0
 574.315322342 0.00361917549493004 0 0
 577.69992814275 0.00372334537597013 0 0
 581.084127744 0.00457949282066003 0 0
 584.46790698125 0.00443326992405648 0 0
 587.85125169 0.00401815893230511 0 0
 591.23414770575 0.00320502120935361 0 0
 594.616580864 0.00391077409364875 0 0
 597.99853700025 0.00419144934661862 0 0
 601.38000195 0.00366326695032072 0 0
 604.76096154875 0.00349323639177952 0 0
 608.141401632 0.00302329974105769 0 0
 611.52130803525 0.00374078434678105 0 0
 614.900666594 0.00359730100463104 0 0
 618.27946314375 0.00376561813919789 0 0
 621.65768352 0.00345963313639494 0 0
 625.03531355825 0.00352897796244472 0 0
 628.412339094 0.00284341038305082 0 0
 631.78874596275 0.00331677366346694 0 0
 635.16452 0.00266334320090726 0 0
 638.53964704125 0.00274563020579157 0 0
 641.914112922 0.00356235569908127 0 0
 645.28790347775 0.00362644200574316 0 0
 648.661004544 0.0026227432146403 0 0
 652.03340195625 0.00320734519910091 0 0
 655.40508155 0.00325752013109688 0 0
 658.77602916075 0.00367199923239105 0 0
 662.146230624 0.003709129684615 0 0
 665.51567177525 0.00416837545605675 0 0
 668.88433845 0.00289063845159479 0 0
 672.25221648375 0.00383869485985991 0 0
 675.619291712 0.00230368540670242 0 0
 678.98554997025 0.00242953208015195 0 0
 682.350977094 0.00331612900181085 0 0
 685.71555891875 0.0035510270459165 0 0
 689.07928128 0.00313774202002768 0 0
 692.44213001325 0.00359927692189189 0 0
 695.804090954 0.00308228956330304 0 0
 699.16514993775 0.00362043275792332 0 0
 702.5252928 0.00346889332752162 0 0
 705.88450537625 0.00329048774558527 0 0
 709.242773502 0.00390629238659628 0 0
 712.60008301275 0.00374948281291418 0 0
 715.956419744 0.00248670819037198 0 0
 719.31176953125 0.00293050805529501 0 0
 722.66611821 0.00322300864308527 0 0
 726.01945161575 0.0015006423286671 0 0
 729.371755584 0.00280765826461358 0 0
 732.72301595025 0.00255218936071201 0 0
 736.07321855 0.00405819826700708 0 0
 739.42234921875 0.00236446081075165 0 0
 742.770393792 0.00210870060556524 0 0
 746.11733810525 0.00314379962695577 0 0
 749.463167994 0.00445250014561154 0 0
 752.80786929375 0.00368245526565628 0 0
 756.15142784 0.00317648444003567 0 0
 759.49382946825 0.00261229640661942 0 0
 762.835060014 0.00165945731375312 0 0
 766.17510531275 0.00307349585043973 0 0
 769.5139512 0.00218231748170217 0 0
 772.85158351125 0.00328345930527158 0 0
 776.187988082 0.00278592237375862 0 0
 779.52315074775 0.00305573087565264 0 0
 782.857057344 0.00321640199726403 0 0
 786.18969370625 0.00273457907151729 0 0
 789.52104567 0.00176180333369181 0 0
 792.85109907075 0.00215075592105647 0 0
 796.179839744 0.00473621130418769 0 0
 799.50725352525 0.00218869979260933 0 0
 802.83332625 0.00405480668701111 0 0
 806.15804375375 0.00314825788661713 0 0
 809.481391872 0.00617171440536597 0 0
 812.80335644025 0.00570907641581178 0 0
 816.123923294 0.00100337806673137 0 0
 819.44307826875 0.00234472830399142 0 0
 822.7608072 0.00181772280656466 0 0
 826.07709592325 0.00453151660884414 0 0
 829.391930274 0.000195107952826051 0 0
 832.70529608775 0.00457272650553333 0 0
 836.0171792 0.00407804726294253 0 0
 839.32756544625 0.00425554899569721 0 0
 842.636440662 0.00185588605654886 0 0
 845.94379068275 0.00143743428220654 0 0
 849.249601344 0.00617035433897749 0 0
 852.55385848125 0.00296185348007014 0 0
 855.85654793 0.00559378487880981 0 0
 859.15765552575 0.00171548847092089 0 0
 862.457167104 0.00436917721007751 0 0
 865.75506850025 0.00435550998961122 0 0
 869.05134555 0.00379497578394088 0 0
 872.34598408875 0.00241985319051607 0 0
 875.638969952 0.0015005038147302 0 0
 878.93028897525 0.00509206415711496 0 0
 882.219926994 0.00705393801311805 0 0
 885.50786984375 0.000819816445277604 0 0
 888.79410336 -0.00219506153847751 0 0
 892.07861337825 0.00221786894831427 0 0
 895.361385734 0.00203968226665061 0 0
 898.64240626275 -0.00328072647002023 0 0
 901.9216608 -0.00389678907160931 0 0
 905.19913518125 -0.00888117825011604 0 0
 908.474815242 0.00847718815986341 0 0
 911.74868681775 0.000199619590839678 0 0
 915.020735744 0.00935322721685003 0 0
 918.29094785625 0.00614966628120528 0 0
 921.55930899 -0.00646111199911009 0 0
 924.82580498075 0.000629155059425167 0 0
 928.090421664 0.00131233719762343 0 0
 931.35314487525 0.00598713399111885 0 0
 934.61396045 -0.00856873995087655 0 0
 937.87285422375 -0.00240125841030269 0 0
 941.129812032 -0.00888358520318029 0 0
 944.38481971025 -0.00015965531101926 0 0
 947.637863094 -0.0077056808686991 0 0
 950.88892801875 0.0045376167170256 0 0
 954.13800032 0 0 0
 957.38506583325 0 0 0
 960.630110394 0 0 0
 963.87311983775 0 0 0
 967.11408 0 0 0
 970.35297671625 0 0 0
 973.589795822 0 0 0
 976.82452315275 0 0 0
 980.057144544 0 0 0
 983.28764583125 0 0 0
 986.51601285 0 0 0
 989.74223143575 0 0 0
 992.966287424 0 0 0
 996.18816665025 0 0 0
 999.40785495 0 0 0
 1002.62533815875 0 0 0
 1005.840602112 0 0 0
 1009.05363264525 0 0 0
 1012.264415594 0 0 0
 1015.47293679375 0 0 0
 1018.67918208 0 0 0
 1021.88313728825 0 0 0
 1025.084788254 0 0 0
 1028.28412081275 0 0 0
 1031.4811208 0 0 0
 1034.67577405125 0 0 0
