ID;Year;Doy;PC_D;PC_SY;PC_S;PC_RV;PC_H1;PC_H1b;PC_H3;PC_W;PC_L;Chla_NDCI;Chla_G08;PC_Lu;PC_Br1;PC_Br2;PC_Br3;chla_OC4Me;CHL_m;CHL2D_m;CHL2C_m;CHL_P;CHL2_P;NDCI
2021001;2021;1.4167;-0.00010518024887391612;-9.257927575172564;43.0250480274093;-28.363964956069278;-0.056875191708140614;-0.05720618529247174;0.014339041765228377;-0.0005635759962140155;-8.232887547952457;12.258459994681981;22.157797657051393;-0.00019412928372091257;0.9457406839060035;0.9069519703315803;0.9094203750586124;5.010376897140445;17.790370551662484;61.69291621262761;24.26364147126365;11.698021523922769;9.563137052077165;-0.02174313221204489
2021001;2021;1.4375;-8.257127012802241e-05;-0.6586924519917193;46.171349361483045;-27.68732661670256;-0.05680789889729985;-0.04271628544554211;0.011271522116302576;-0.0006117656205852798;-7.346293097409511;11.463740579479772;23.497325661842535;-0.00020685788184849393;0.9539523827997626;0.936048803297247;0.9352372320741388;5.0004441492048475;18.873182823962672;63.45417924288344;24.400239496361404;12.512082031236073;10.173111239549689;-0.03225218557343617
2021001;2021;1.4583;-3.107751497682075e-05;0.3836779403686253;44.07366011421554;-26.56872617695452;-0.05352692858159148;-0.051071209278156275;0.014764437423804537;-0.000698535399096395;-5.095453177433041;12.032788468297259;22.627008041425576;-0.0001631652896150644;0.9532045566115568;0.9182497463879687;0.9155957016497337;5.219588845560324;20.025585046322888;65.32863475299335;24.54646120988145;13.374565676266675;11.056865378717449;-0.02467029278830454
2021001;2021;1.4792;-4.133453295713206e-05;0.7317625860909418;46.11420754304387;-26.749257322605263;-0.05691364133971753;-0.04157544180458963;0.013476126609196972;-0.0006782910857220152;-5.737018089932341;11.30768929068523;23.735469373859292;-0.00018830854902976012;0.9526676162474527;0.9368632806490013;0.9307357481216704;5.005748397167265;19.795621173347477;64.95458388736579;24.517212596775146;13.202776298360368;10.717229925138863;-0.034385032530540136
2021001;2021;1.5;-2.516387395235832e-05;2.2900007929944133;45.825897447633906;-26.403624380175035;-0.05693508076503611;-0.042014198150050815;0.013815063970304504;-0.0007433923004873692;-5.020626412350396;11.311479896658723;23.811034547629358;-0.000186413846648154;0.9535930044553086;0.9360052666698101;0.9280550990663312;4.997509432534632;20.866086107913198;66.69576318747733;24.653659880911125;14.001082846927916;11.476369449386999;-0.03433293613084366
2021001;2021;1.5208;1.1094718046292251e-06;3.34137301968662;48.113999376122386;-25.639820994340784;-0.06157721502238544;-0.031005465448791823;0.015884530945633003;-0.0008144169337954298;-3.9918402459904194;10.696126485644758;25.106478842498856;-0.00018689152994321215;0.9547279110453054;0.9578053824760016;0.9373295104964083;4.499412214648731;21.109957945701353;67.0924362424515;24.68485116705901;14.182467299042536;11.414564800618203;-0.0429889840999292
2021001;2021;1.5417;-7.629295706173406e-06;2.2584914674516825;46.163075388406774;-25.874035765684198;-0.056898368793587506;-0.04181227858594397;0.015033377809043262;-0.0007066205848384819;-4.283917231893651;11.344046771622367;23.736792293109925;-0.00017533818547153216;0.9530826670299486;0.9375113960922125;0.9265868111450555;4.637858835333392;19.891244699060543;65.11012163381501;24.52937051313273;13.274229141980005;10.709630788224786;-0.03388594730874952
2021001;2021;1.5625;-2.9985285616391383e-05;-0.22461297223821652;46.714968306162056;-26.418678291126227;-0.0591385042901258;-0.040651264935964236;0.014642990680461352;-0.0006841488331057428;-5.339341444206142;11.289221863299131;23.90899920168012;-0.00018459112346913922;0.9515939244336409;0.9421854631578817;0.9304494302848612;4.349148345445142;19.335194026943725;64.20566984951094;24.45875655503505;12.858343849353613;10.278158615205164;-0.034639048292585996
2021001;2021;1.5833;1.3401839390211542e-05;0.6143200924829062;48.8852906021926;-25.400300407819735;-0.06914330571173875;-0.02143259312470845;0.017916372043601442;-0.0009865402696849536;-3.7181161723376843;9.841389101671485;26.86610503278873;-0.00021261754361811148;0.948860521185243;0.9714443602617889;0.9424976462024696;4.3604461129639445;23.15413424488353;70.41741900740176;24.94785853822116;15.695791604361442;12.617651577846846;-0.0557604567616178
2021001;2021;1.6042;-3.891860408650194e-05;-5.869467842008021;44.15214150571833;-26.637280126615764;-0.05981850003559394;-0.051324376580759674;0.01648288164017235;-0.0007596454794577422;-5.453369703785211;11.658969503763641;23.38667486857999;-0.0002008832572772928;0.944883574362776;0.9242814794017168;0.9113143828410261;3.7854076390109346;20.408621296339945;65.95166757563562;24.595256254052362;13.660349337162293;11.038423212929375;-0.02961724071098848
2021001;2021;1.625;-3.4048224543701405e-05;5.74937631751502;48.344981113877765;-26.54816886269651;-0.05132178251026274;-0.033344439586630005;0.012946051245010564;-0.0008354008282380921;-4.923592825369546;11.702824370946212;23.841383089125973;-0.00016746675260073955;0.9610699141204612;0.9564585657726047;0.9462414172500071;3.6375953834114156;21.572000233499708;67.84397741051139;24.744054773970475;14.525627138996638;11.757268508425929;-0.029030304740149396
