Doy;PC_D;PC_SY;PC_S;PC_RV;PC_H1;PC_H1b;PC_H3;PC_W;PC_L;Chla_NDCI;Chla_G08;PC_Lu;PC_Br1;PC_Br2;PC_Br3;chla_OC4Me;CHL_m;CHL2D_m;CHL2C_m;CHL_P;CHL2_P;NDCI
2021001;-2.9985285616391383e-05;-0.22461297223821652;46.948977925707574;-26.418678291126227;-0.05492413305991216;-0.03767813255684332;0.01434509637699475;-0.0006841488331057428;-5.256316291560176;11.289221863299131;23.7904608035535;-0.00018459112346913922;0.9515939244336409;0.9421854631578817;0.9304494302848612;4.637858835333392;20.070731773238663;65.40206877575788;24.552207421745205;13.408272751256982;10.695687015366111;-0.034639048292585996
2021002;-8.523422005218308e-05;-1.9803316796392405;43.57388842273419;-27.83000655125883;-0.05545839237819403;-0.055990074656352855;0.011578384358872294;-0.0006377078942660247;-7.046876557668808;12.285061093853765;22.27427216640534;-0.00017306301944048199;0.9511014752153392;0.9133867260789373;0.9137059267755449;5.1046384798002755;19.045827408410986;63.73499664008265;24.422089779898755;12.641548862089497;10.534382219047789;-0.021400912406596227
2021003;-8.255138476074425e-05;3.168572142108818;46.171616531992775;-27.72526056291805;-0.05020409106724967;-0.04511996479131827;0.009898193185998688;-0.0006439293298282196;-6.937386825420269;12.149483118305298;22.537529760344288;-0.00013810640592404376;0.9593250088814623;0.9318206284390685;0.9337955294937502;4.68164237121841;19.381904312677705;64.28164710013922;24.46468055617175;12.89331570441179;10.541895171062768;-0.023151267825064728
2021004;-0.00010626299964420355;2.9348481368515977;46.794233467707215;-28.453410939197905;-0.05158404149096662;-0.04120729181937867;0.009283369251173991;-0.0006235520424767236;-7.974561898365281;11.96554004974242;22.873546820831983;-0.00018734046119303887;0.9603248185269981;0.9379524159603967;0.9394300473667497;4.492933377325607;20.818109103871564;66.61772553895543;24.647528247829754;13.9653778402566;11.563716075024493;-0.02555101786807173
2021005;-4.553982572446519e-05;0.5205057753216219;48.475061739206566;-26.731910856638958;-0.06087552941566206;-0.03297707958396448;0.014831395344608277;-0.0006956963566945155;-5.842714948246185;11.230972254560042;24.476267514116866;-0.00023819252541552893;0.954216072499568;0.9580904128534138;0.9416700406882413;3.657773092246302;20.29024173240877;65.75911568568807;24.580165516496734;13.572073618040502;10.785764823381765;-0.0354425311011364
2021006;-9.919260254812046e-05;7.485408062692674;49.62717828608982;-28.0223204010107;-0.048899706588000455;-0.028902365548876364;0.00952990604591627;-0.0007698447225824301;-6.940723753603116;11.999397367380054;23.640990465204418;-0.0001975137719332856;0.9659814751240332;0.9652700902838134;0.9580246319474403;3.461546740870176;21.258460845906203;67.33398565476188;24.703864063965167;14.292831135486212;11.682257241381059;-0.025107108911838687
2021007;-9.928462673920377e-05;17.46405344459514;52.600235686782;-28.172825510183365;-0.037393683460972264;-0.015126677125591308;0.005246926798942651;-0.0008343499409004245;-6.636155504433824;12.143687826200994;23.58765915205785;-0.0001297513824822865;0.9794641965965711;0.982280981309278;0.9829988420660074;3.4511891313463945;23.384620061063043;70.79231884684759;24.977688495792904;15.865629878925606;13.103782597066534;-0.023226431153825368
2021008;-7.941464338518528e-05;19.487806042955455;54.66830286505211;-27.61694348549212;-0.033858239022006964;-0.006511305885024788;0.0046270824877045515;-0.0007818116506658201;-6.192394952611314;11.950939642917866;23.937718410667692;-0.00010972886935505422;0.982888629295215;0.9933622753849014;0.992777407543888;3.401814477696407;21.934749363235596;68.43401194170866;24.79063497398035;14.794589353307344;11.866396871318798;-0.025742756769957062
2021009;-0.00013302430584070934;3.9572357423847953;47.864238599586294;-29.122976501032074;-0.053344177852969854;-0.035849856242774765;0.006890815530761498;-0.0006283272432813817;-9.047520578989907;11.608805532555614;23.517548427439753;-0.00021473707645874754;0.9613976465489241;0.9492659262200567;0.9571656839931846;4.979631617987852;21.353063719886276;67.48786324625158;24.715983750178356;14.363102976166784;11.637533356985658;-0.03029082341955969
2021010;-0.00011075576668953882;16.20829662186553;49.52834681131804;-28.478395185861316;-0.038701065811583585;-0.03191383798831799;0.0050524615865269506;-0.0006647539048336224;-6.8677892629821775;12.768216903038857;22.223143921224242;-0.00013259576956226472;0.9773538623914532;0.959651210165918;0.9699564851761203;3.762098076128402;21.758215348194636;68.14686813827375;24.767955500654033;14.663747000777295;12.241719401631096;-0.015283948667693876
